"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2006","1,280.10","1,248.30","1,294.90","1,245.70","","2.55%"
"12/01/2005","1,248.30","1,249.50","1,275.80","1,246.60","","-0.10%"
"11/01/2005","1,249.50","1,207.00","1,270.60","1,201.10","","3.52%"
"10/01/2005","1,207.00","1,228.80","1,233.30","1,168.20","","-1.77%"
"09/01/2005","1,228.80","1,220.30","1,243.10","1,205.30","","0.70%"
"08/01/2005","1,220.30","1,234.20","1,245.90","1,201.10","","-1.13%"
"07/01/2005","1,234.20","1,191.30","1,245.20","1,183.50","","3.60%"
"06/01/2005","1,191.30","1,191.50","1,219.60","1,188.30","","-0.02%"
"05/01/2005","1,191.50","1,156.80","1,199.60","1,146.20","","3.00%"
"04/01/2005","1,156.80","1,180.60","1,191.90","1,136.20","","-2.02%"
"03/01/2005","1,180.60","1,203.60","1,229.10","1,163.70","","-1.91%"
"02/01/2005","1,203.60","1,181.30","1,212.40","1,181.00","","1.89%"
"01/01/2005","1,181.30","1,211.90","1,217.90","1,163.80","","-2.52%"
"12/01/2004","1,211.90","1,173.80","1,217.30","1,173.80","","3.25%"
"11/01/2004","1,173.80","1,130.20","1,188.50","1,127.50","","3.86%"
"10/01/2004","1,130.20","1,114.60","1,142.00","1,090.20","","1.40%"
"09/01/2004","1,114.60","1,104.20","1,131.50","1,099.10","","0.94%"
"08/01/2004","1,104.20","1,101.70","1,109.70","1,060.70","","0.23%"
"07/01/2004","1,101.70","1,140.80","1,140.80","1,078.80","","-3.43%"
"06/01/2004","1,140.80","1,120.70","1,146.30","1,113.30","","1.79%"
"05/01/2004","1,120.70","1,107.30","1,127.70","1,076.30","","1.21%"
"04/01/2004","1,107.30","1,126.20","1,150.60","1,107.20","","-1.68%"
"03/01/2004","1,126.20","1,144.90","1,163.20","1,087.10","","-1.63%"
"02/01/2004","1,144.90","1,131.10","1,159.00","1,124.40","","1.22%"
"01/01/2004","1,131.10","1,111.90","1,155.40","1,105.10","","1.73%"
"12/01/2003","1,111.90","1,058.20","1,112.60","1,053.40","","5.07%"
